
[2025-04-22 21:57:23] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.5.158
[2025-04-22 21:57:23] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.5.158
[2025-04-22 21:57:52] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.5.158
[2025-04-22 21:57:52] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.5.158
[2025-04-22 21:58:08] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.5.158
[2025-04-22 21:58:08] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.5.158
[2025-05-13 20:01:36] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.2.89
[2025-05-13 20:01:36] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.2.89
[2025-05-13 20:03:15] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.2.89
[2025-05-13 20:03:15] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.2.89
[2025-05-13 20:37:38] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.2.89
[2025-05-13 20:37:38] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.2.89
[2025-05-13 20:37:58] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.2.89
[2025-05-13 20:37:58] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.2.89
[2025-05-13 20:38:02] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.2.89
[2025-05-13 20:38:02] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.2.89
[2025-05-13 20:38:15] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.2.89
[2025-05-13 20:38:15] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.2.89
[2025-05-13 20:38:20] [SUCESSO] Conexao com o banco bem sucedida - Usuário: Não identificado | IP: 172.16.2.89
[2025-05-13 20:38:20] [SUCESSO] Login realizado com sucesso - Usuário: ismael | IP: 172.16.2.89
